season,team,oc_name,first_year_in_seat,promotion_type,prior_team,prior_role,hc_is_playcaller,confidence,notes
2024,TEN,Nick Holz,True,outside_hire,JAX,passing game coordinator,False,medium,New HC Brian Callahan staff
2025,TEN,Nick Holz,False,returning,,,False,high,Verified via Wikipedia
2016,WAS,Sean McVay,False,returning,,,False,high,OC since 2014; left to LA HC after 2016
2017,WAS,Matt Cavanaugh,True,internal,WAS,QB coach,False,medium,
2018,WAS,Matt Cavanaugh,False,returning,,,False,medium,
2019,WAS,Kevin O'Connell,True,outside_hire,LA,passing game coordinator,True,low,"SELF-CAUGHT INCONSISTENCY: this row and the 2020 LA row for the same person point in opposite directions (WAS->LA prior_team here, LA->WAS prior_team there). Real history is likely that O'Connell was WAS QB coach/passing-game coordinator (not full OC - HC Jay Gruden is believed to have called plays) through 2019 and was then hired by LA as OC in 2020; this WAS row's OC title and prior_team are not independently verified. Flagged rather than silently guessed."
2020,WAS,Scott Turner,True,outside_hire,CAR,passing game coordinator,False,medium,New HC Ron Rivera staff
2021,WAS,Scott Turner,False,returning,,,False,medium,
2022,WAS,Scott Turner,False,returning,,,False,medium,
2023,WAS,Eric Bieniemy,True,outside_hire,KC,offensive coordinator,False,high,
2024,WAS,Kliff Kingsbury,True,outside_hire,USC (college),offensive coordinator,False,high,"New HC Dan Quinn staff; verified via Wikipedia that he joined in 2024,   not 2025 as some secondary sources implied"
2025,WAS,Kliff Kingsbury,False,returning,,,False,high,Verified via Wikipedia
